,fips,margin
513,13317,1.1317000000000002
514,13319,1.1239
515,13321,1.4777
516,16001,1.0388000000000002
517,16003,1.5221
518,16005,1.2175
519,16007,1.7733
520,16009,1.5831
521,16011,1.5587
522,16013,0.3678
523,16015,1.473
524,16017,1.3678
525,16019,1.436
526,16021,1.5882999999999998
527,16023,1.7167000000000001
528,16025,1.5311
529,16027,1.3965
530,16029,1.7245
531,16031,1.6688999999999998
532,16033,1.7170999999999998
533,16035,1.5829
534,16037,1.5426000000000002
535,16039,1.4548
536,16041,1.7785
537,16043,1.677
538,16045,1.6159
539,16047,1.5622
540,16049,1.6520000000000001
541,16051,1.7359999999999998
542,16053,1.4900000000000002
543,16055,1.4286
544,16057,0.0371999999999999
545,16059,1.5403
546,16061,1.6097000000000001
547,16063,1.5435
548,16065,1.6356000000000002
549,16067,1.5899
550,16069,1.3360999999999998
551,16071,1.7744
552,16073,1.6332
553,16075,1.5933
554,16077,1.4054
555,16079,1.4171
556,16081,0.07219999999999993
557,16083,1.4521000000000002
558,16085,1.1374
559,16087,1.5763
560,17001,1.4649
561,17003,1.142
562,17005,1.4086999999999998
563,17007,1.1335
564,17009,1.5724
565,17011,1.2139
566,17013,1.4936
567,17015,1.2933
568,17017,1.3773
569,17019,0.22789999999999994
570,17021,1.4453
571,17023,1.5057
572,17025,1.6522
573,17027,1.5107000000000002
574,17029,1.2632999999999999
575,17031,0.5021
576,17033,1.5128
577,17035,1.5913
578,17037,0.05699999999999994
579,17039,1.4281
580,17041,1.4442
581,17043,0.17970000000000003
582,17045,1.5243
583,17047,1.6964
584,17049,1.5917
585,17051,1.6181999999999999
586,17053,1.4729
587,17055,1.4748
588,17057,1.2012
589,17059,1.5223
590,17061,1.5485000000000002
591,17063,1.2577
592,17065,1.6033000000000002
593,17067,1.4882
594,17069,1.5744
595,17071,1.3301
596,17073,1.2141000000000002
597,17075,1.5674
598,17077,0.012900000000000023
599,17079,1.6242
600,17081,1.4512
601,17083,1.4808000000000001
